name,phone,email,website,rating,reviews,address,official_name,company_number,sic_codes
24/7 Heating ltd,,,,4.7,23.0,"95 Miles Rd, Mitcham CR4 3FH, United Kingdom",,,
Cheap Plumbing,,,,4.5,27.0,"157 Castle Hill Ave, New Addington, Croydon CR0 0TJ, United Kingdom",,,
Dr H2o,,,,4.7,78.0,"148b Stanley Park Rd, Carshalton SM5 3JG, United Kingdom",,,
Direct Plumbing,,,,5.0,137.0,"39 Orchard Way, Sutton SM1 3QQ, United Kingdom",,,
Purley Plumbing & Heating,,,,5.0,2.0,"14 Wontford Rd, Purley CR8 4BL, United Kingdom",,,
Plumbing in and out ltd,,,,5.0,62.0,"78, Copeland House, London SW17 0NG, United Kingdom",,,
My Local Plumber London,,,,4.4,56.0,"216 Kirkdale, London SE26 4NL, United Kingdom",,,
Plumbing Plumbers Limited,,,,4.9,111.0,"Goodmayes Ln, Ilford IG3 9PB, United Kingdom",,,
Mark Frost Plumbing & Heating Ltd,,,,5.0,50.0,"7 Lavender Cl, Chaldon, Caterham CR3 5DW, United Kingdom",,,
Fast Response Plumbers Ltd,,,,4.4,222.0,"Capital Business Centre, 22 Carlton Rd, South Croydon CR2 0BS, United Kingdom",,,
Maintracts Services Ltd,,,,4.9,765.0,"Trident Business center, B202 The, London SW17 9SH, United Kingdom",,,
